Subject,Activity,MAE,RMSE,MAPE,R2,Pearson r,??5bpm (%),NaN (%)
P15,walking,29.96,31.12,31.42,-35.69,-0.25,3.7,0
P15,meditation-1,6.33,8.24,7.59,-6.66,0.08,42.5,0
P15,meditation-2,8.39,13.21,10.95,-14.27,-0.2,45.9,0
P15,rest-1,18.45,20.04,17,-1.79,0.75,10.7,0
P15,rest-2,12.93,16.89,14.98,-13,-0.1,20,0
P15,rest-3,16.78,22.02,20.6,-15.58,0.51,12.1,0
P15,rest-4,31.54,39.41,28.2,-16.47,-0.04,10.3,2.5
P15,rest-5,30.06,36.57,19.68,-7.35,0.42,6,0
P15,screen-reading,8.55,11.08,10.74,-9.99,0.73,37.8,0
P15,standing,8.06,10.82,9.09,-8.47,0.13,39.5,0
P16,keyboard-typing,13.41,18.68,17.08,-75.19,-0.06,38.1,0
P16,mobile-typing,13.22,15.03,15.32,-10.57,-0.27,14.3,0
P16,ssst-sing,7.54,8.18,7.86,-431.13,-0.85,50,0
P16,jogging,59.45,62.95,63.48,-23.77,0.31,0,0
P16,running,93.94,120.25,104.62,-5031.56,0.07,3.7,0
P16,walking,36.13,49.32,44.18,-40.67,-0.79,7.7,0
P16,meditation-1,9.46,15.4,11.96,-12.12,0.14,33.8,1.39
P16,meditation-2,16.82,24.15,15.28,-0.56,0.31,39.4,0
